content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
"Emails
Bitcoin P2P e-cash paperOct 31, 2008, 18:10:00 UTCBitcoin P2P e-cash paperNov 3, 2008, 01:37:43 UTCBitcoin P2P e-cash paperNov 3, 2008, 16:23:49 UTCBitcoin P2P e-cash paperNov 6, 2008, 20:15:40 UTCBitcoin P2P e-cash paperNov 8, 2008, 18:54:38 UTCBitcoin P2P e-cash paperNov 9, 2008, 01:58:48 UTCBitcoin P2P e-cash paperNov 9, 2008, 03:09:49 UTCBitcoin P2P e-cash paperNov 9, 2008, 16:31:26 UTCBitcoin P2P e-cash paperNov 10, 2008, 02:14:30 UTCBitcoin P2P e-cash paperNov 10, 2008, 22:18:20 UTCBitcoin P2P e-cash paperNov 13, 2008, 22:56:55 UTCBitcoin P2P e-cash paperNov 14, 2008, 18:55:35 UTCBitcoin P2P e-cash paperNov 15, 2008, 04:43:00 UTCBitcoin P2P e-cash paperNov 15, 2008, 18:02:00 UTCBitcoin P2P e-cash paperNov 17, 2008, 17:24:43 UTCBitcoin v0.1 releasedJan 8, 2009, 19:27:40 UTCBitcoin v0.1 releasedJan 16, 2009, 16:03:14 UTCBitcoin v0.1 releasedJan 25, 2009, 15:47:10 UTC",0,emails,email,email_002_Cryptography_Mailing_List,2,nakamotoinstitute_files\emails\email_002_Cryptography_Mailing_List.html,nakamotoinstitute_files\emails\email_002_Cryptography_Mailing_List.html,Cryptography Mailing List,1,False,"[""What is mentioned with regards to Bitcoin's version number in these emails?"", 'Was Bitcoin v0.1 released on Jan 8, 2009?', 'When was the v0.1 release of Bitcoin?']"
"Emails
[p2p-research] Bitcoin open source implementation of P2P currencyFeb 11, 2009, 22:37:54 UTC[p2p-research] Bitcoin open source implementation of P2P currencyFeb 12, 2009, 19:08:24 UTC[p2p-research] Bitcoin open source implementation of P2P currencyFeb 13, 2009, 02:38:20 UTC[p2p-research] Bitcoin open source implementation of P2P currencyFeb 13, 2009, 18:36:45 UTC[p2p-research] Bitcoin P2P e-currency v0.1 releasedFeb 13, 2009, 18:52:41 UTC",0,emails,email,email_004_P2P_Research_List,4,nakamotoinstitute_files\emails\email_004_P2P_Research_List.html,nakamotoinstitute_files\emails\email_004_P2P_Research_List.html,P2P Research List,1,False,"[""What was the release date of Bitcoin's open source implementation of P2P currency?"", 'Did Satoshi Nakamoto release a version of Bitcoin on February 13, 2009?', 'What specific features or milestones did Bitcoin v0.1 introduce?']"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 6, 2008 at 20:15:40 UTC
>[Lengthy exposition of vulnerability of a systm to use-of-force
>monopolies ellided.]
>
>You will not find a solution to political problems in cryptography.
Yes, but we can win a major battle in the arms race and gain a new territory of freedom for several years.
Governments are good at cutting off the heads of a centrally controlled networks like Napster, but pure P2P networks like Gnutella and Tor seem to be holding their own.
Satoshi
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",0,emails,email,email_010_Bitcoin_P2P_e-cash_paper,10,nakamotoinstitute_files\emails\email_010_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_010_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,1,False,"[""What is Satoshi Nakamoto's view on using cryptography to solve political problems?"", 'Did Satoshi mention the vulnerability of centrally controlled networks and P2P networks like Napster, Gnutella, and Tor?', 'What major battle in the arms race did Satoshi Nakamoto foresee being won by cryptographers?']"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Welcome | Date: | December 10, 2008 at 17:00:23 UTC
Welcome to the Bitcoin mailing list!
[bitcoin-list] Welcome
bitcoin-list",0,emails,email,email_022_[bitcoin-list]_Welcome,22,nakamotoinstitute_files\emails\email_022_[bitcoin-list]_Welcome.html,nakamotoinstitute_files\emails\email_022_[bitcoin-list]_Welcome.html,[bitcoin-list] Welcome,1,False,"['Was Bitcoin introduced as a form of payment?', 'What was the subject line of the email sent to the bitcoin-list in December 2008?', 'Did Satoshi express interest in cryptography and peer-to-peer networks after receiving a PGP private key?', ""Is this the first documentation from Satoshi regarding Bitcoin's creation? "", ""What date and time was the document 'sent at' (12/10/08 17:00:23 UTC)?""]"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin v0.1.2 now available | Date: | January 11, 2009 at 22:32:18 UTC
Bitcoin v0.1.2 is now available for download.
See http://www.bitcoin.org for the download link.
All the problems I've been finding are in the code that
automatically finds and connects to other nodes, since I wasn't
able to test it in the wild until now.  There are many more ways
for connections to get screwed up on the real Internet.
Bugs fixed:
- Fixed various problems that were making it hard for new nodes to
see other nodes to connect to.
- If you're behind a firewall, it could only receive one
connection, and the second connection would constantly disconnect
and reconnect.
These problems are kind of screwing up the network and will get
worse as more users arrive, so please make sure to upgrade.
Satoshi Nakamoto
[bitcoin-list] Bitcoin v0.1.2 now available
bitcoin-list",0,emails,email,email_024_[bitcoin-list]_Bitcoin_v0.1.2_now_available,24,nakamotoinstitute_files\emails\email_024_[bitcoin-list]_Bitcoin_v0.1.2_now_available.html,nakamotoinstitute_files\emails\email_024_[bitcoin-list]_Bitcoin_v0.1.2_now_available.html,[bitcoin-list] Bitcoin v0.1.2 now available,1,False,"[""Was the development of Bitcoin affected by the Internet's challenges?"", 'What was the main problem Satoshi faced with node connections in the early development of Bitcoin?', 'Did the problems with node connections get worse as more users joined the network?', 'Why were new nodes unable to see other nodes until the wild Internet could be tested?', 'In what specific ways did Saturno Nakamoto improve node connectivity in Bitcoin?']"
"From: | Satoshi Nakamoto | Subject: | Re: [bitcoin-list] Problems | Date: | January 25, 2009 at 16:45:25 UTC
From: Nicholas Bohm 2009-01-25 10:17
> I have had a couple of problems running bitcoin: is this an appropriate
> list for reporting them (with about 70kb of attachments)?
What's the problem you're having?
If you send me your debug.log file directly (best not to send attachments
to the list), I can take a look at what's happening.
Satoshi Nakamoto
bitcoin-help at vistomail dot com
Re: [bitcoin-list] Problems
bitcoin-list",0,emails,email,email_030_Re__[bitcoin-list]_Problems,30,nakamotoinstitute_files\emails\email_030_Re__[bitcoin-list]_Problems.html,nakamotoinstitute_files\emails\email_030_Re__[bitcoin-list]_Problems.html,Re  [bitcoin-list] Problems,1,False,"['What does Satoshi Nakamoto recommend for troubleshooting Bitcoin issues?', 'Was the debug.log file sent to a specific mailing address by Nicholas Bohm, and what was its purpose?', 'Can the problems Nicholas Bohm reported being caused by attachments instead of sending the log file directly?']"
"From: | Satoshi Nakamoto | Subject: | [p2p-research] Bitcoin open source implementation of P2P currency | Date: | February 13, 2009 at 18:36:45 UTC
Michel Bauwens wrote:
>
how operational is your project? how soon do you think people will be
>
able to use it in real life?
It's fully operational and the network is growing.  If you try the
software, e-mail me your Bitcoin address and I'll send you a few coins.
We just need to spread the word and keep getting more people interested.
I'll forward the release introduction in the next message.
Satoshi
http://www.bitcoin.org
[p2p-research] Bitcoin open source implementation of P2P currency
P2P Research List",0,emails,email,email_035_[p2p-research]_Bitcoin_open_source_implementation_of_P2P_currency,35,nakamotoinstitute_files\emails\email_035_[p2p-research]_Bitcoin_open_source_implementation_of_P2P_currency.html,nakamotoinstitute_files\emails\email_035_[p2p-research]_Bitcoin_open_source_implementation_of_P2P_currency.html,[p2p-research] Bitcoin open source implementation of P2P currency,1,False,"[""How operational is Satoshi's project?"", 'What motivated Satoshi to send Bitcoin coins to interested users?', 'Is Bitcoin a fully decentralized currency?', 'What was the timeline for the release introduction of Bitcoin?', 'Will people be able to use Bitcoin in real life soon?', 'Did Satoshi mention any specific plans or goals for the P2P network?']"
"From: | Satoshi Nakamoto | Subject: | Re: [bitcoin-list] Bitcoin v0.1.5 released | Date: | February 22, 2009 at 17:47:52 UTC
> What's next?
The next thing for v0.1.6 is to take advantage of multiple
processors to generate blocks.  Currently it only starts one
thread.  If you have a multi-core processor like a Core Duo or
Quad this will double or quadruple your production.
Later I want to add interfaces to make it really easy to integrate
into websites from any server side language.
Satoshi
http://www.bitcoin.org
Re: [bitcoin-list] Bitcoin v0.1.5 released
bitcoin-list",0,emails,email,email_037_Re__[bitcoin-list]_Bitcoin_v0.1.5_released,37,nakamotoinstitute_files\emails\email_037_Re__[bitcoin-list]_Bitcoin_v0.1.5_released.html,nakamotoinstitute_files\emails\email_037_Re__[bitcoin-list]_Bitcoin_v0.1.5_released.html,Re  [bitcoin-list] Bitcoin v0.1.5 released,1,False,"[""What was Satoshi's plan to improve block generation speed in Bitcoin?"", 'Did Satoshi mention the type of processor that can take advantage of multiple cores?', 'When did Satoshi release a new version of Bitcoin that incorporated multi-core processing?']"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Bitcoin 0.2 released | Date: | December 17, 2009 at 06:52:09 UTC
Bitcoin 0.2 is here!
Download (Windows, and now Linux version available)
http://sourceforge.net/projects/bitcoin/files/
New Features
Martti Malmi
- Minimize to system tray option
- Autostart on boot option so you can keep it running in the
background automatically
- New options dialog layout for future expansion
- Setup program for Windows
- Linux version (tested on Ubuntu)
Satoshi Nakamoto
- Multi-processor support for coin generation
- Proxy support for use with TOR
- Fixed some slowdowns in the initial block download
We also have a new forum at http://www.bitcoin.org/smf/
Many thanks to Martti (sirius-m) for all his development work, and to
New Liberty Standard for his help with testing the Linux version.
Satoshi Nakamoto
[bitcoin-list] Bitcoin 0.2 released
bitcoin-list",0,emails,email,email_040_[bitcoin-list]_Bitcoin_0.2_released,40,nakamotoinstitute_files\emails\email_040_[bitcoin-list]_Bitcoin_0.2_released.html,nakamotoinstitute_files\emails\email_040_[bitcoin-list]_Bitcoin_0.2_released.html,[bitcoin-list] Bitcoin 0.2 released,1,False,"[""What was Satoshi Nakamoto's view on implementing minimization to system tray options in Bitcoin?"", 'Did Satoshi mention using TOR for proxy support with the early version of Bitcoin?', 'When did the Linux version of Bitcoin become available?', 'Did New Liberty Standard test the new setup program for Windows?', 'At what time did Bitcoin 0.2 get released?', ""What were some specific features added to Bitcoin's options dialog layout in version 0.2?""]"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] Alert: upgrade to bitcoin 0.3.6 | Date: | July 30, 2010 at 06:02:38 UTC
Please upgrade to 0.3.6 ASAP to get an important bugfix.
See the bitcoin.org homepage for download links.
[bitcoin-list] Alert: upgrade to bitcoin 0.3.6
bitcoin-list",0,emails,email,email_042_[bitcoin-list]_Alert__upgrade_to_bitcoin_0.3.6,42,nakamotoinstitute_files\emails\email_042_[bitcoin-list]_Alert__upgrade_to_bitcoin_0.3.6.html,nakamotoinstitute_files\emails\email_042_[bitcoin-list]_Alert__upgrade_to_bitcoin_0.3.6.html,[bitcoin-list] Alert  upgrade to bitcoin 0.3.6,1,False,"['What specific bug did Satoshi Nakamoto mention in the upgrade to bitcoin 0.3.6?', 'When was the version bitcoin 0.3.6 released?', 'Did Satoshi recommend downloading links directly from the bitcoin.org homepage as mentioned in the email?']"
"From: | Satoshi Nakamoto | Subject: | [bitcoin-list] ALERT - we are investigating a problem | Date: | August 15, 2010 at 20:38:33 UTC
*** WARNING ***  We are investigating a problem.  DO NOT TRUST ANY
TRANSACTIONS THAT HAPPENED AFTER 15.08.2010 17:05 UTC (block 74638)
until the issue is resolved.
[bitcoin-list] ALERT - we are investigating a problem
bitcoin-list",0,emails,email,email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem,43,nakamotoinstitute_files\emails\email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem.html,nakamotoinstitute_files\emails\email_043_[bitcoin-list]_ALERT_-_we_are_investigating_a_problem.html,[bitcoin-list] ALERT - we are investigating a problem,1,False,"['What was the date when Satoshi Nakamoto first warned about a security issue with Bitcoin transactions?', 'Who or what caused Satoshi to investigate this problem in August 2010?', 'Is there any detail related to blocks and timestamps that might be relevant to this warning?', ""Does this warning indicate a known problem or a test of the system's integrity?""]"
